Dataseed	minfreq	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	wintime_steptime_dataset_kwargs	use_full_mfcc	canonical_features	ontology	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(nothing, 2, 0.01, 0.4, false)train_accuracy	T,(nothing, 2, 0.01, 0.4, false)K	T,(nothing, 2, 0.01, 0.4, false)accuracy	T,(nothing, 2, 0.01, 0.4, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.4, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.4, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.4, false)n_nodes	T,(nothing, 2, 0.01, 0.4, false)n_leaves	T,(nothing, 2, 0.01, 0.4, false)height	T,(nothing, 2, 0.01, 0.4, false)modal_height	T,(nothing, 2, 0.01, 0.4, false)t	T,(nothing, 2, 0.01, 0.4, false)hash	T,(nothing, 2, 0.01, 0.5, false)train_accuracy	T,(nothing, 2, 0.01, 0.5, false)K	T,(nothing, 2, 0.01, 0.5, false)accuracy	T,(nothing, 2, 0.01, 0.5, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.5, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.5, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.5, false)n_nodes	T,(nothing, 2, 0.01, 0.5, false)n_leaves	T,(nothing, 2, 0.01, 0.5, false)height	T,(nothing, 2, 0.01, 0.5, false)modal_height	T,(nothing, 2, 0.01, 0.5, false)t	T,(nothing, 2, 0.01, 0.5, false)hash	T,(nothing, 2, 0.01, 0.6, false)train_accuracy	T,(nothing, 2, 0.01, 0.6, false)K	T,(nothing, 2, 0.01, 0.6, false)accuracy	T,(nothing, 2, 0.01, 0.6, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.6, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.6, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.6, false)n_nodes	T,(nothing, 2, 0.01, 0.6, false)n_leaves	T,(nothing, 2, 0.01, 0.6, false)height	T,(nothing, 2, 0.01, 0.6, false)modal_height	T,(nothing, 2, 0.01, 0.6, false)t	T,(nothing, 2, 0.01, 0.6, false)hash	T,(nothing, 4, 0.01, 0.4, false)train_accuracy	T,(nothing, 4, 0.01, 0.4, false)K	T,(nothing, 4, 0.01, 0.4, false)accuracy	T,(nothing, 4, 0.01, 0.4, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.4, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.4, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.4, false)n_nodes	T,(nothing, 4, 0.01, 0.4, false)n_leaves	T,(nothing, 4, 0.01, 0.4, false)height	T,(nothing, 4, 0.01, 0.4, false)modal_height	T,(nothing, 4, 0.01, 0.4, false)t	T,(nothing, 4, 0.01, 0.4, false)hash	T,(nothing, 4, 0.01, 0.5, false)train_accuracy	T,(nothing, 4, 0.01, 0.5, false)K	T,(nothing, 4, 0.01, 0.5, false)accuracy	T,(nothing, 4, 0.01, 0.5, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.5, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.5, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.5, false)n_nodes	T,(nothing, 4, 0.01, 0.5, false)n_leaves	T,(nothing, 4, 0.01, 0.5, false)height	T,(nothing, 4, 0.01, 0.5, false)modal_height	T,(nothing, 4, 0.01, 0.5, false)t	T,(nothing, 4, 0.01, 0.5, false)hash	T,(nothing, 4, 0.01, 0.6, false)train_accuracy	T,(nothing, 4, 0.01, 0.6, false)K	T,(nothing, 4, 0.01, 0.6, false)accuracy	T,(nothing, 4, 0.01, 0.6, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.6, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.6, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.6, false)n_nodes	T,(nothing, 4, 0.01, 0.6, false)n_leaves	T,(nothing, 4, 0.01, 0.6, false)height	T,(nothing, 4, 0.01, 0.6, false)modal_height	T,(nothing, 4, 0.01, 0.6, false)t	T,(nothing, 4, 0.01, 0.6, false)hash	RF,(half_f, 50, 0.7, identity, nothing, false)train_accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)K	RF,(half_f, 50, 0.7, identity, nothing, false)accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_specificity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_PPV	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_NPV	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_F1	RF,(half_f, 50, 0.7, identity, nothing, false)oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)σ² K	RF,(half_f, 50, 0.7, identity, nothing, false)σ² accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)σ² macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_specificity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_PPV	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_NPV	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_F1	RF,(half_f, 50, 0.7, identity, nothing, false)σ² oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)t	RF,(half_f, 50, 0.7, identity, nothing, false)hash	
1	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(29,)]	98.88	40.65	70.33	70.33	69.11	71.54	70.83	69.84	69.96	159	80	17	14	259.775	7d5b01599641443aceddb6c41d5d9f65f70443a55535c8d3b38cbfdc348d2cfb	98.88	40.65	70.33	70.33	69.11	71.54	70.83	69.84	69.96	159	80	17	14	89.43	7d5b01599641443aceddb6c41d5d9f65f70443a55535c8d3b38cbfdc348d2cfb	98.88	40.65	70.33	70.33	69.11	71.54	70.83	69.84	69.96	159	80	17	14	89.505	7d5b01599641443aceddb6c41d5d9f65f70443a55535c8d3b38cbfdc348d2cfb	95.72	43.9	71.95	71.95	73.98	69.92	71.09	72.88	72.51	139	70	16	14	87.179	b040f4e371ecd242ed0f4538dc7df6546932d0585caee3060e2fbe45ebcfb8da	95.72	43.9	71.95	71.95	73.98	69.92	71.09	72.88	72.51	139	70	16	14	79.243	b040f4e371ecd242ed0f4538dc7df6546932d0585caee3060e2fbe45ebcfb8da	95.72	43.9	71.95	71.95	73.98	69.92	71.09	72.88	72.51	139	70	16	14	78.971	b040f4e371ecd242ed0f4538dc7df6546932d0585caee3060e2fbe45ebcfb8da	99.29	63.09	81.54	81.54	80.33	82.76	82.35	80.8	81.32	17.82	5000.0	516640.0	0.0	0.02	0.0	0.0	0.01	0.02	0.02	0.0	0.0	0.0	0.0	53680.0	2012.204	("0678682b4699b11fa5c693c4cc6b2d9768b4bf3cb98aad212fe486390d9c4264", "b910f8397a53c04a11f0f77484bf09f813bd19f764b295020a573c59d8563039", "5eef18f657750cfb136457185bca24b99e4b7fd5ea21fb745bed96b90d98f308", "031cf5abe1a86d97b36ed0c27fe0c647769bb1f4e41c3ca018eca7845cb95591", "475074a0ba4ae4832555451bba18095ef03d6ea3a954eb769d57cfa10600942f")	
2	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(29,)]	98.98	57.72	78.86	78.86	79.67	78.05	78.4	79.34	79.03	149	75	15	10	149.127	24a258ace9b0026b18fb9a0aad219f4dd39e48140ebb1b918ca097e7008bd1ec	98.98	57.72	78.86	78.86	79.67	78.05	78.4	79.34	79.03	149	75	15	10	95.003	24a258ace9b0026b18fb9a0aad219f4dd39e48140ebb1b918ca097e7008bd1ec	98.98	57.72	78.86	78.86	79.67	78.05	78.4	79.34	79.03	149	75	15	10	94.332	24a258ace9b0026b18fb9a0aad219f4dd39e48140ebb1b918ca097e7008bd1ec	97.45	57.72	78.86	78.86	79.67	78.05	78.4	79.34	79.03	135	68	12	9	95.121	4d2e06a16b855d90231401b18e548f6b9abbff776d980b57cf0f4f992cba6eaf	97.45	57.72	78.86	78.86	79.67	78.05	78.4	79.34	79.03	135	68	12	9	93.868	4d2e06a16b855d90231401b18e548f6b9abbff776d980b57cf0f4f992cba6eaf	97.45	57.72	78.86	78.86	79.67	78.05	78.4	79.34	79.03	135	68	12	9	93.775	4d2e06a16b855d90231401b18e548f6b9abbff776d980b57cf0f4f992cba6eaf	99.29	60.65	80.33	80.33	77.24	83.41	82.34	78.57	79.7	17.39	5000.0	520040.0	0.0	0.01	0.0	0.0	0.01	0.02	0.01	0.0	0.0	0.0	0.0	67880.0	1964.126	("614775cc5b5d5075dfa6f419cb27dddaad357cc600a35a6e0d4ae60622434a49", "e82adaf3c535f748749af17d0d5475cff94ba5426cd2cde6ed69027eb63d8f73", "d0a7103f29131c18611170a7646d58ec4803f8a3bca2b6170a4634120cf8c644", "98d0ee77d0e20e9cc81f46510fe164abe624c1a2980910d3768f7899ad7fbf23", "1869ada3ea565a0e92474708f53f7ca3da113561bbaf099708427996da0f4f0d")	
3	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(29,)]	98.78	51.22	75.61	75.61	79.67	71.54	73.68	77.88	76.56	175	88	23	16	107.836	d07a33bc5e7d09ddb8a8b783c9f7f72637cdcb731ed5b63a876f130f4ce2187c	98.78	51.22	75.61	75.61	79.67	71.54	73.68	77.88	76.56	175	88	23	16	93.053	d07a33bc5e7d09ddb8a8b783c9f7f72637cdcb731ed5b63a876f130f4ce2187c	98.78	51.22	75.61	75.61	79.67	71.54	73.68	77.88	76.56	175	88	23	16	92.658	d07a33bc5e7d09ddb8a8b783c9f7f72637cdcb731ed5b63a876f130f4ce2187c	96.13	47.15	73.58	73.58	77.24	69.92	71.97	75.44	74.51	155	78	23	16	91.726	28bf3cd1487bbd34eb5733adb9c9b1c2f98307c944fb0c72e0ed2c47fb0fffa4	96.13	47.15	73.58	73.58	77.24	69.92	71.97	75.44	74.51	155	78	23	16	91.362	28bf3cd1487bbd34eb5733adb9c9b1c2f98307c944fb0c72e0ed2c47fb0fffa4	96.13	47.15	73.58	73.58	77.24	69.92	71.97	75.44	74.51	155	78	23	16	91.522	28bf3cd1487bbd34eb5733adb9c9b1c2f98307c944fb0c72e0ed2c47fb0fffa4	99.53	64.72	82.36	82.36	76.75	87.97	86.46	79.1	81.31	18.66	5000.0	531280.0	0.0	0.02	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.0	183720.0	1886.14	("a2f9b8a1c4e4b617e6b4d605d4b2a20306cdba9da4787888f8f95e5d504989b7", "ce0ede68399a93970a134c747eb7f4bd5a37884f1ac3265758cc49b54f237605", "a0fca5de2507c34bae52defa263cdeac9b4092d04ff88b55584d4c7f3f1babbd", "b243f29716e7425907c30881f5b0172f26ed0e15ac99a986030112ecd2be8d0c", "7fd1746737f76d92425738948bb63f10a714e6c1c2e8a30d8b74bce4a1ae9303")	
4	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(29,)]	98.47	54.47	77.24	77.24	73.98	80.49	79.13	75.57	76.47	163	82	18	11	114.433	b91b492587f6a7e799686e9ec450fdc26339b226c55e83742a41c94509908938	98.47	54.47	77.24	77.24	73.98	80.49	79.13	75.57	76.47	163	82	18	11	107.511	b91b492587f6a7e799686e9ec450fdc26339b226c55e83742a41c94509908938	98.47	54.47	77.24	77.24	73.98	80.49	79.13	75.57	76.47	163	82	18	11	107.292	b91b492587f6a7e799686e9ec450fdc26339b226c55e83742a41c94509908938	96.33	52.85	76.42	76.42	76.42	76.42	76.42	76.42	76.42	145	73	15	13	96.64	80d1107adb9e9917df746318256b97db2cc5abbf2622cd2621a1a6fc0ea331a7	96.33	52.85	76.42	76.42	76.42	76.42	76.42	76.42	76.42	145	73	15	13	96.124	80d1107adb9e9917df746318256b97db2cc5abbf2622cd2621a1a6fc0ea331a7	96.33	52.85	76.42	76.42	76.42	76.42	76.42	76.42	76.42	145	73	15	13	96.227	80d1107adb9e9917df746318256b97db2cc5abbf2622cd2621a1a6fc0ea331a7	99.43	64.88	82.44	82.44	78.21	86.67	85.46	79.91	81.67	17.8	5000.0	524480.0	0.0	0.03	0.01	0.01	0.0	0.03	0.03	0.0	0.01	0.0	0.0	565720.0	2232.55	("33a8eee2fcaef8d0a2ff6985ced82857afacecd35ee22bead1d2b0859b053d40", "987b6978b9ea5f950216d822055812ef26dfb61b2d822680cbeb8f8db98f89b4", "b175e57fd949617f4de5b6339dc4076493cc7075b2c672fa0c185feeec424b0a", "0caeb40f6b6612c47ca41b75d119e2a4da85d40965c56b71114b433f64d821ab", "c682d000e163234fc244655e1c46f5f16449c6f8295ee227e923ea5ffad3cdc2")	
5	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(29,)]	98.88	40.65	70.33	70.33	69.92	70.73	70.49	70.16	70.2	157	79	19	10	88.634	9aa5e47ce041b68dc34616f5463af37c044c506fba2debeaa54e6534fb457a67	98.88	40.65	70.33	70.33	69.92	70.73	70.49	70.16	70.2	157	79	19	10	85.641	9aa5e47ce041b68dc34616f5463af37c044c506fba2debeaa54e6534fb457a67	98.88	40.65	70.33	70.33	69.92	70.73	70.49	70.16	70.2	157	79	19	10	86.087	9aa5e47ce041b68dc34616f5463af37c044c506fba2debeaa54e6534fb457a67	97.05	45.53	72.76	72.76	71.54	73.98	73.33	72.22	72.43	147	74	18	10	86.584	2544a3d4f819217d45fc1fc610c1a9dbe871eeaa9d20844ce9bf8fc8eed44a3d	97.05	45.53	72.76	72.76	71.54	73.98	73.33	72.22	72.43	147	74	18	10	86.065	2544a3d4f819217d45fc1fc610c1a9dbe871eeaa9d20844ce9bf8fc8eed44a3d	97.05	45.53	72.76	72.76	71.54	73.98	73.33	72.22	72.43	147	74	18	10	85.646	2544a3d4f819217d45fc1fc610c1a9dbe871eeaa9d20844ce9bf8fc8eed44a3d	99.63	67.64	83.82	83.82	80.81	86.83	85.98	81.92	83.31	18.8	5000.0	524760.0	0.0	0.06	0.02	0.02	0.04	0.01	0.01	0.03	0.02	0.0	0.0	279680.0	2381.095	("f5048c1138118fad9c6b31f2efb2359f204155399a213c508281c483b34ff56f", "6cad67f19b51161a3a2da492539c75cc731eb3219a107a0bd9caf3e0e39397bf", "5adabb954d2371036e3a0fc3f17987270cb6f593d5ddac6b73dc8e53886f2104", "840218eef9bfe2c03fb94d43f09eb574d4ef5790f83f48d52f044aa2800af978", "3c15b817d54734ecf830f93167c19c56c2ca9f88a98d05175a9b4fe95b0f468a")	
6	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(29,)]	98.47	47.97	73.98	73.98	73.17	74.8	74.38	73.6	73.77	165	83	17	9	78.819	d8aed52144703c8bf59016f806d8fa471ac3bdd67c6d14b77f8e1b09e8d925c0	98.47	47.97	73.98	73.98	73.17	74.8	74.38	73.6	73.77	165	83	17	9	84.39	d8aed52144703c8bf59016f806d8fa471ac3bdd67c6d14b77f8e1b09e8d925c0	98.47	47.97	73.98	73.98	73.17	74.8	74.38	73.6	73.77	165	83	17	9	80.638	d8aed52144703c8bf59016f806d8fa471ac3bdd67c6d14b77f8e1b09e8d925c0	96.95	46.34	73.17	73.17	73.98	72.36	72.8	73.55	73.39	141	71	16	8	80.806	f805ba2ba6c11f0a9df35752132955bec83a3c46808720d26e0d0a744002f8cf	96.95	46.34	73.17	73.17	73.98	72.36	72.8	73.55	73.39	141	71	16	8	80.234	f805ba2ba6c11f0a9df35752132955bec83a3c46808720d26e0d0a744002f8cf	96.95	46.34	73.17	73.17	73.98	72.36	72.8	73.55	73.39	141	71	16	8	80.548	f805ba2ba6c11f0a9df35752132955bec83a3c46808720d26e0d0a744002f8cf	99.49	60.81	80.41	80.41	79.02	81.79	81.28	79.59	80.13	18.33	5000.0	523680.0	0.0	0.02	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	349120.0	2780.304	("d698eba5142f8e96b4f80acc37675f8a81fb5a26612b33bff6f40213bb0dd7ac", "b61db74a974e53d0c0d2cff7f50fb3e769d1a6c8e53c47b737dab996e1bff9ac", "59280b4f03d4a9d44fd7d99f0c1524ac2c0a7541b90862953bcd9fafaf7f162f", "a5408043b780f2846f0ee502483a58a46d7bf416d7f8629a2319c7d430b5edfe", "01bcb2ce585d3656a959aa6f540e3b648c36b4c3deb401a744265675eb20f77e")	
7	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(29,)]	98.47	48.78	74.39	74.39	69.92	78.86	76.79	72.39	73.19	159	80	13	10	74.012	fa52d7a15ea634a323146799e94f55f8379166f7c3fbc6f296777c2bf486b88b	98.47	48.78	74.39	74.39	69.92	78.86	76.79	72.39	73.19	159	80	13	10	72.055	fa52d7a15ea634a323146799e94f55f8379166f7c3fbc6f296777c2bf486b88b	98.47	48.78	74.39	74.39	69.92	78.86	76.79	72.39	73.19	159	80	13	10	72.727	fa52d7a15ea634a323146799e94f55f8379166f7c3fbc6f296777c2bf486b88b	96.03	47.15	73.58	73.58	69.92	77.24	75.44	71.97	72.57	151	76	13	9	58.105	1b681b813b8e33e679f8bd5286584867e3a0f12305f8cc26b954502fd9257a97	96.03	47.15	73.58	73.58	69.92	77.24	75.44	71.97	72.57	151	76	13	9	59.98	1b681b813b8e33e679f8bd5286584867e3a0f12305f8cc26b954502fd9257a97	96.03	47.15	73.58	73.58	69.92	77.24	75.44	71.97	72.57	151	76	13	9	66.595	1b681b813b8e33e679f8bd5286584867e3a0f12305f8cc26b954502fd9257a97	99.23	67.97	83.98	83.98	76.75	91.22	89.74	79.69	82.74	18.55	5000.0	530800.0	0.0	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	89600.0	2037.419	("d284e1c5fed1367a9248726330ae836d5ee6b7ad2299aada4f65130b7daac621", "8071d49ce2851efc423bc2d4b87588160c3eec3ece8e1c72291ad21c9925fb44", "572b633948b79867f25af199e100f6d863c405af003c63f029cf7054c682f545", "e25ad176e98861200e068185e6723b4a0709f3cb3a6bcc65717c3ac26e381772", "4b32ffcc1891a496e3a7a2ae04efd46532545a9718c6e42631bd2658b3fa5e1a")	
8	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(29,)]	98.07	52.85	76.42	76.42	74.8	78.05	77.31	75.59	76.03	169	85	13	10	42.052	191f8a2aec3c1fd3b2d87d686b8c5c855d01058ef6719c1b074cb65e55dcfd7f	98.07	52.85	76.42	76.42	74.8	78.05	77.31	75.59	76.03	169	85	13	10	40.686	191f8a2aec3c1fd3b2d87d686b8c5c855d01058ef6719c1b074cb65e55dcfd7f	98.07	52.85	76.42	76.42	74.8	78.05	77.31	75.59	76.03	169	85	13	10	40.712	191f8a2aec3c1fd3b2d87d686b8c5c855d01058ef6719c1b074cb65e55dcfd7f	97.05	51.22	75.61	75.61	75.61	75.61	75.61	75.61	75.61	153	77	13	10	40.521	546f1f1b91dcbaecba31017857392d83fc677f291b1b1256dea57de7c1f474e8	97.05	51.22	75.61	75.61	75.61	75.61	75.61	75.61	75.61	153	77	13	10	40.659	546f1f1b91dcbaecba31017857392d83fc677f291b1b1256dea57de7c1f474e8	97.05	51.22	75.61	75.61	75.61	75.61	75.61	75.61	75.61	153	77	13	10	40.461	546f1f1b91dcbaecba31017857392d83fc677f291b1b1256dea57de7c1f474e8	99.55	72.36	86.18	86.18	85.04	87.32	87.07	85.37	86.03	20.41	5000.0	541440.0	0.0	0.08	0.02	0.02	0.0	0.06	0.05	0.0	0.02	0.0	0.0	364680.0	2576.762	("a6b13d97cf33379d877a35c574cde5e49d25e64bb1fd0708b8f1a42da67149cd", "4ee93dd6c457f9276fc42c62e987586331c586fe465691dbc7ddd65267295987", "2a8a1c8fa723342a33bd198c10bbca92326c155eae85c02ff4b6e1a6fb24580c", "1449f2f6f7d5840a147baaee0e22f4cf2719913c01d18b498f692df0101c88bc", "1b5d9d2b9cb7ab009779f9e914f1088abc57be18023d99340d6fe265e0b15553")	
9	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(29,)]	98.68	50.41	75.2	75.2	73.98	76.42	75.83	74.6	74.9	167	84	17	12	77.444	7a3cea2406105598cd2b62a695d0f1da783feddecf4efaf931e38fb22c5b17d7	98.68	50.41	75.2	75.2	73.98	76.42	75.83	74.6	74.9	167	84	17	12	76.855	7a3cea2406105598cd2b62a695d0f1da783feddecf4efaf931e38fb22c5b17d7	98.68	50.41	75.2	75.2	73.98	76.42	75.83	74.6	74.9	167	84	17	12	76.655	7a3cea2406105598cd2b62a695d0f1da783feddecf4efaf931e38fb22c5b17d7	96.13	43.9	71.95	71.95	69.92	73.98	72.88	71.09	71.37	139	70	16	12	75.615	0a43d69cbd922b335c475fe3aef4ca2d44bc10d3d154f82951f69df274bc7e8e	96.13	43.9	71.95	71.95	69.92	73.98	72.88	71.09	71.37	139	70	16	12	75.95	0a43d69cbd922b335c475fe3aef4ca2d44bc10d3d154f82951f69df274bc7e8e	96.13	43.9	71.95	71.95	69.92	73.98	72.88	71.09	71.37	139	70	16	12	75.245	0a43d69cbd922b335c475fe3aef4ca2d44bc10d3d154f82951f69df274bc7e8e	99.49	61.3	80.65	80.65	77.72	83.58	82.56	78.98	80.06	18.51	5000.0	524520.0	0.0	0.04	0.01	0.01	0.04	0.01	0.01	0.02	0.01	0.0	0.0	113320.0	2178.415	("0a5da6e08597c97d5a291e089991d938549730f9dfe5c60eb0e8ac3724c93658", "0aa5679eefe7877744e56ddd53bf0b4c8be424806859b9a525cc77a271104fd0", "f06b969e2f1244e9d0ca46a59440887dc9540f5aaf896c85bc2d6d0886ef4e18", "b25c637d43b1132bcf2dd42d4a53d9d8c7a1ca7b6144ece8b922950ac4521767", "bd398626b786de9b921e11b11bf77a1738a1554c095ff3ffa19a91d8e58e6429")	
10	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 45,ma_step = 30))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(29,)]	98.98	45.53	72.76	72.76	73.98	71.54	72.22	73.33	73.09	155	78	14	11	68.039	1d538d73ee8671d0f23c25bed5029bee8c92d7a6ab166a643894bb92e8e4b111	98.98	45.53	72.76	72.76	73.98	71.54	72.22	73.33	73.09	155	78	14	11	67.05	1d538d73ee8671d0f23c25bed5029bee8c92d7a6ab166a643894bb92e8e4b111	98.98	45.53	72.76	72.76	73.98	71.54	72.22	73.33	73.09	155	78	14	11	66.969	1d538d73ee8671d0f23c25bed5029bee8c92d7a6ab166a643894bb92e8e4b111	96.44	45.53	72.76	72.76	73.98	71.54	72.22	73.33	73.09	129	65	14	10	64.94	6923bda367f0aa4739c4dbac1eafe53ca35cb1146ef3ebf656c23bd93b8de15f	96.44	45.53	72.76	72.76	73.98	71.54	72.22	73.33	73.09	129	65	14	10	64.712	6923bda367f0aa4739c4dbac1eafe53ca35cb1146ef3ebf656c23bd93b8de15f	96.44	45.53	72.76	72.76	73.98	71.54	72.22	73.33	73.09	129	65	14	10	65.114	6923bda367f0aa4739c4dbac1eafe53ca35cb1146ef3ebf656c23bd93b8de15f	99.37	63.41	81.71	81.71	79.02	84.39	83.55	80.13	81.19	17.49	5000.0	512960.0	0.0	0.01	0.0	0.0	0.05	0.03	0.02	0.02	0.01	0.0	0.0	267880.0	1863.251	("5b24c954850a4f7a8e97962fc7d5b0f708d3aa77b9c32007caf921fdaa16e346", "4d865c457c7ab05329649e375dfe82345431faf79b5159bdede6a8c287a99bbf", "482788facaf365927fc27c389dbb45aad0d696e37f14f1b008dd7257db795ee6", "1e893a08c8fbae2ab42c569afd79229e8a3535799c7d0b69a78e1338662ab22c", "8b23737872cc12bce1541c03363ff056cff0cb7a618bb1fdfadc10ae1c681020")	
