Dataseed	windowsize_flattened_ontology_test_operators	n_samples_per_label	n_attributes	dataset_name	# insts (TRAIN)	# insts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.3)train_accuracy	T(entropy,2,0.01,0.3)K	T(entropy,2,0.01,0.3)accuracy	T(entropy,2,0.01,0.3)macro_sensitivity	T(entropy,2,0.01,0.3)safe_macro_sensitivity	T(entropy,2,0.01,0.3)safe_macro_specificity	T(entropy,2,0.01,0.3)safe_macro_PPV	T(entropy,2,0.01,0.3)safe_macro_NPV	T(entropy,2,0.01,0.3)safe_macro_F1	T(entropy,2,0.01,0.3)n_nodes	T(entropy,2,0.01,0.3)t	T(entropy,2,0.01,0.3)hash	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,4,0.01,0.3)train_accuracy	T(entropy,4,0.01,0.3)K	T(entropy,4,0.01,0.3)accuracy	T(entropy,4,0.01,0.3)macro_sensitivity	T(entropy,4,0.01,0.3)safe_macro_sensitivity	T(entropy,4,0.01,0.3)safe_macro_specificity	T(entropy,4,0.01,0.3)safe_macro_PPV	T(entropy,4,0.01,0.3)safe_macro_NPV	T(entropy,4,0.01,0.3)safe_macro_F1	T(entropy,4,0.01,0.3)n_nodes	T(entropy,4,0.01,0.3)t	T(entropy,4,0.01,0.3)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	RF(0.7,51,half,all)train_accuracy	RF(0.7,51,half,all)K	RF(0.7,51,half,all)accuracy	RF(0.7,51,half,all)macro_sensitivity	RF(0.7,51,half,all)safe_macro_sensitivity	RF(0.7,51,half,all)safe_macro_specificity	RF(0.7,51,half,all)safe_macro_PPV	RF(0.7,51,half,all)safe_macro_NPV	RF(0.7,51,half,all)safe_macro_F1	RF(0.7,51,half,all)oob_error	RF(0.7,51,half,all)n_nodes	RF(0.7,51,half,all)σ² train_accuracy	RF(0.7,51,half,all)σ² K	RF(0.7,51,half,all)σ² accuracy	RF(0.7,51,half,all)σ² macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_specificity	RF(0.7,51,half,all)σ² safe_macro_PPV	RF(0.7,51,half,all)σ² safe_macro_NPV	RF(0.7,51,half,all)σ² safe_macro_F1	RF(0.7,51,half,all)σ² oob_error	RF(0.7,51,half,all)σ² n_nodes	RF(0.7,51,half,all)t	RF(0.7,51,half,all)hash	
9	3x3 avg,propositional	100	-1	Pavia	720	180	[103]	[()]	96.53	70.62	73.89	73.89	73.89	96.74	74.42	96.78	73.16	111	10.579	b3eef5793ff6370c4aa82884a2e46201bbe9f57a803bdb8952cdb0e5c5c845ce	92.92	70.62	73.89	73.89	73.89	96.74	74.07	96.79	72.97	85	10.838	1fcfebe5946ea0e285b65d1af523ea9a8b9714c93ac33275b39687619ce428a9	90.14	70.62	73.89	73.89	73.89	96.74	73.99	96.78	73.08	69	10.628	671d51694555e6b3cc9782d238f6b5282111499963b7b48ffaf7ce69e7a85ff7	94.86	72.5	75.56	75.56	75.56	96.94	76.68	96.99	75.02	95	10.749	cd151c840c661da0c93769b4029477168752ec85f958f8038d6e94c7d2e7ccb0	91.53	70.62	73.89	73.89	73.89	96.74	74.24	96.79	72.93	73	10.697	d54521cb4cc25566895214c492d4098247b129a3010bbf569ede07801ce5058b	88.89	70.0	73.33	73.33	73.33	96.67	73.53	96.71	72.48	61	10.754	67e0ee4cbe3127ec14b45ac0323a36ee762738bf7f565aad12a8004807649867	99.61	78.62	81.0	81.0	81.0	97.62	81.3	97.65	80.66	14.78	490300.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	285800.0	96.923	("93f6b0b7da5f8f1adfe25647ed1874333f3f04401a754d444afe494ddbe517c3", "c4c86955beb7007a1f6588a68b79cf0b066ca29aa5c7821f492688bedb368415", "3ee0a2441f4a18fea15192c71ddee4b8211060a0c8e87dbf83c8ff3789668db9", "33eee89cb57f635994b8ecbb0bc2303eee8370f425f4be51c1a960edbc4e657b", "b8c49cfb3898f87a0511395746dc36b6ca22d4c73df73b35028ee6410d472ac7")	
10	3x3 avg,propositional	100	-1	Pavia	720	180	[103]	[()]	97.92	72.5	75.56	75.56	75.56	96.94	75.56	96.95	75.46	107	10.727	70e019e350c9f5d73d5ef62c66404f096c4e537c2654e46c160cadd01459e60f	97.22	72.5	75.56	75.56	75.56	96.94	75.55	96.95	75.39	101	10.797	8763fdbfda74e46b178d03a68c223f60fe7a61faaf5c6482eef3753304278459	87.22	66.88	70.56	70.56	70.56	96.32	70.23	96.37	69.71	53	10.644	b786322604680fee568021df85bee13fc43338d6a91fb7dee04539cdd6d4b673	94.86	73.75	76.67	76.67	76.67	97.08	76.56	97.09	76.54	97	10.715	63bd601911c45d2ff9fca4ab39229791ff73dab22b0469c32070724f017268d5	94.17	72.5	75.56	75.56	75.56	96.94	75.53	96.95	75.47	91	10.706	118d35c139853567eea73e9832057dd2e874cb13c023d64dcede25bb2ba28333	86.25	66.88	70.56	70.56	70.56	96.32	70.05	96.36	69.68	55	10.508	b702d72fa21aa449284888bd7774bba2e3fe7c25edccaf57545826be94c61c32	99.33	80.38	82.56	82.56	82.56	97.82	82.61	97.83	82.39	15.75	500060.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	553480.0	97.028	("31f3f25d1abf0ae4a083c7e691cf27d67619ff55aed050e6737334d1eb4a369c", "26033fc7845170ef6e4172b5e4d8d96f09223100b8df1d91923dbf3a9e64bc07", "ca74de0dfdb9ed50b79a0908c22761e0d6554a3686084578c0291107425c88ec", "d0da2ca404d931f5b04cac2b51846255e1c1f290946d22506c9d5c958a0d2781", "35fcfc2804a2b86fd158b22bd8c8cd055111027378b6f19b75c0eea638463940")	
1	5x5 avg,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	96.67	65.62	69.44	69.44	69.44	96.18	70.4	96.2	69.37	193	107.224	2beb3de156c6eb5dda6f10ac50dddee349dca821e4308a85b16ef3d0dfabd879	95.56	66.25	70.0	70.0	70.0	96.25	71.61	96.26	70.1	183	106.95	a7e078c4517a337f99c99d69561799c6946892498997b4dd9d4456b0d60410ce	94.72	66.25	70.0	70.0	70.0	96.25	71.0	96.26	69.97	171	107.395	e3f3c49dc867d9f9a81c0a202645401b76f838efff195c0b6b740f9388000c48	91.53	68.13	71.67	71.67	71.67	96.46	71.67	96.48	71.36	161	107.818	ea5a5b44efbdaacc00166189a599abb40c6ed5c2fb79f606862d376467c6c33b	90.97	68.75	72.22	72.22	72.22	96.53	72.6	96.55	72.01	155	108.192	557c8dde285caa865bfd4c311a86113719d930f9fbfe3703ef9201be12fae453	90.97	68.75	72.22	72.22	72.22	96.53	72.6	96.55	72.01	147	108.216	88d8bdf59cdc41e1464229372ed49aed8c34b59e30a64ae22eaed66b27c8ec2e	100.0	93.25	94.0	94.0	94.0	99.25	94.48	99.26	93.95	9.61	869980.0	0.0	0.02	0.01	0.01	0.01	0.0	0.01	0.0	0.02	0.01	264320.0	1029.235	("88bd19c78908a2ae632b128e8263b0d92029c71a89f71895a98beccd51b7aa46", "531957f8ee501ce4dba22163ac39a0b64062d5a03a08897e8917e9c474f5e802", "7e4043e4b56e43effd006c70cc84f9c1e80cdd99ac9cb9c91f507d0571501759", "8152226306c0caac80dba0a96032d1e4d8bfc2ee5a6cbfbab76c5f1edbd28a9b", "307f06e4b98297f4d15d511e8de387552e816e22010a5eb5c95bfb2e9963811d")	
2	5x5 avg,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	96.67	68.75	72.22	72.22	72.22	96.53	72.4	96.53	72.22	187	144.24	1ff27ceda23289720e628b8761b850f509448c22ba12cdb132a93ac360be0c70	95.56	68.13	71.67	71.67	71.67	96.46	71.63	96.46	71.56	171	143.629	a6f8660ca3415901372353dc54ed9b39ff16282e033f75cc93e96b92ea7fda4e	93.75	67.5	71.11	71.11	71.11	96.39	71.12	96.4	70.98	157	144.884	47962f520d150b71e7e1a8988244cfa6f7281cfa65ff266d525b6c6fd07eb9f4	92.64	66.25	70.0	70.0	70.0	96.25	69.94	96.26	69.87	161	144.979	abb15e59a8a95aafde2e370722e5672a2f4df88b297cd4bb4d68175c1a628f2d	92.22	66.88	70.56	70.56	70.56	96.32	70.48	96.33	70.4	147	143.815	af096cf38d8e65458332b9c3720c18be90265d966ef6bb56af71aca83bb495ab	91.11	68.75	72.22	72.22	72.22	96.53	72.11	96.53	72.08	137	143.512	4f128d7667ec32f0986c4209a06b0d997a88b78ba9da85b7b7173fc0bdc2f1e6	100.0	94.75	95.33	95.33	95.33	99.42	95.46	99.42	95.32	10.19	873260.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	293480.0	1045.511	("6805b102b399a34ded5a1cd0c727442ad8f30dbb301e7e258891d73335a7e598", "fb45c9d3017d37b524d31ea7833fb84297a3c1c2a02a534610921a036d4ba623", "0a9599e3055d428b280510fd9ab3b68a6ee3e8bdcd52ed34ca638c87c67b819d", "56109a81e2cc3110c134cacf0d263df9e26189a99e1fb96b46ec39a88193c00f", "a9c02b6c6fad4b9b2ee7f923eb59ec00f5ef652002e4dbd7e5d78259dd12ad8f")	
3	5x5 avg,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	97.08	60.63	65.0	65.0	65.0	95.62	65.75	95.63	65.12	187	109.912	eb06f97127117f01bffae7fe16bb6112f01a73dd105b52dbca6105ff64d236cd	95.69	60.63	65.0	65.0	65.0	95.62	65.75	95.63	65.12	175	109.456	9cdc7497bd06da70d4f4b8b4bb641adbf4fdbc77ee859f842f557474e31f6693	93.61	60.0	64.44	64.44	64.44	95.56	64.97	95.55	64.59	161	109.267	92deebca70c60ae46dd37485b4b7f9215cd94efadfbaffba6efd5c2b02dfbb3e	91.81	60.0	64.44	64.44	64.44	95.56	66.28	95.56	64.76	151	108.606	d1d24ce643808eab7725e98ef9229616a246ce6eb7af4a3ee9caf07ec6522592	91.39	60.0	64.44	64.44	64.44	95.56	66.28	95.56	64.76	141	110.151	7ad44937a952667073d6505347047501d5f4f10c06c92c9ce78ac9249f20252e	89.44	59.37	63.89	63.89	63.89	95.49	65.02	95.49	64.15	133	108.753	65f231ecfc055f7067af1cd47066adfc892d31078b42ee6100296da620a43ff6	100.0	93.38	94.11	94.11	94.11	99.26	94.53	99.27	94.18	11.25	881700.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	186400.0	1034.374	("b9c78af2f23132c4e8f7e798872022bcf648bb696c7c1ca20aef3442a56c0425", "eef883ce2e2a4eff395000be62e349374f83f0bd69f89a58f41956fc8f41b66e", "8120566d2e5b91cc88efb23237b8d4f3680371c01fa04b7ab8398ad45e24c5a0", "f142db4afb2a89d20c374c9afd1202c4fdd08931e434122a0bbe4b7d89f14dac", "b629e4a4d8cfcc744d36fae663eccd40fa4df0f369871f1dc33b400ad8606c07")	
4	5x5 avg,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	95.56	57.5	62.22	62.22	62.22	95.28	63.17	95.28	62.3	189	94.557	dea1f8c426412bb5a1dea638246128d485c63cad4e6bfbda49fb1be6f5f42520	94.86	56.88	61.67	61.67	61.67	95.21	62.98	95.22	61.81	177	94.558	2734148363d5c8d218900c1a9974948af29776c8d24d778b0da4c1e6a6abd3d1	92.78	55.0	60.0	60.0	60.0	95.0	61.08	95.01	60.08	163	93.83	f19a29a73c1ac0ce5d9a5ece3639de4a9d11343674bf906c16c3fa2432ef79ae	91.11	50.63	56.11	56.11	56.11	94.51	57.22	94.52	56.27	155	94.945	23c5a721bd09e9a9636fb80df76bac44af57c1a545dca8eb67e9b22e3e2b1850	91.11	51.25	56.67	56.67	56.67	94.58	57.76	94.59	56.77	143	94.004	42a1bcaf2ab43b760ff6a8acafa9566eca7712dae7cbae12aa77a8cac147d950	89.86	50.63	56.11	56.11	56.11	94.51	57.43	94.52	56.22	135	93.748	11c888a72f0a8f6516e18618be8fc92be008edda5fb3586a846f806b9e814b8c	100.0	93.5	94.22	94.22	94.22	99.28	94.61	99.28	94.28	11.33	877660.0	0.0	0.03	0.02	0.02	0.02	0.0	0.02	0.0	0.02	0.0	700480.0	1005.817	("627ab4b0b19dcb4f71fcc6c93e9a7fdb24be65fc74d712791392a4acbe0378b5", "2ab6bb362381bb1a77e32360dfff5829364b348573b25eb86b218db4c87cd66a", "798a0b78c534d2aa5abf29490f3992c58345669fcba4febc449ce247cd0c433d", "ae8655fa93dbde7b7a5258146e309256373717a81e1760aa01a60cf8847d408d", "b245e63f85e4fead6d9f48a00e9cbf7d94f70ec3e5735cf80049b8bae6a42997")	
5	5x5 avg,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	96.94	64.38	68.33	68.33	68.33	96.04	69.39	96.07	68.16	193	105.354	625ddeef84e58871de8f103dbec899d088ea25e5a98b562a100eab8fa912ca71	96.25	63.75	67.78	67.78	67.78	95.97	68.71	96.0	67.58	185	104.973	d7bd6fb11027bedd1bdf0bec9578e3c519fedb10b3634f2782eddf51ca4b6f68	95.28	63.75	67.78	67.78	67.78	95.97	68.76	96.0	67.53	171	103.911	f1a8b8d466fbaf3aa0050c2aa236731e1d72de6880fbccc0c0c08f022a53a5e4	92.36	65.62	69.44	69.44	69.44	96.18	71.53	96.22	69.22	161	105.604	2ac5ae60defb7afbd0ff30858bd8b2d51f625a566326ecbe4ac2bd8300a262aa	91.81	65.0	68.89	68.89	68.89	96.11	70.93	96.15	68.64	153	105.99	3e4fec15641fbf27d4abfe00c763b453d4c8208d3efe0928f27b428b09550197	91.39	65.0	68.89	68.89	68.89	96.11	70.9	96.14	68.78	147	104.709	e00957fe457dcaeac6d39a77f13011fcd86b420e4f7e0d628dc52e6983491d38	100.0	89.88	91.0	91.0	91.0	98.88	91.63	98.88	91.06	10.17	869540.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	675880.0	1015.218	("534232a6155013878005d8d4cea68c7f2faf32bdc8dab941138d4615885b567e", "f243ee7d995ff0630f9acb47bddaf0e69e3d9676cfd3f53f52081ddccf273007", "702a737ff28c64bee5e05f6ec58169bb22f3df1af0d1c97d6f187b3a02486f5f", "5fcbcd308b304678642b39ddb92c8102f99816c0a0af996cc8948d8202cb3230", "ab465ee5ea9e628c31d793998cdcd8f5f216d56e58f80f29b9bdbdce3bd86db6")	
6	5x5 avg,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	96.25	66.88	70.56	70.56	70.56	96.32	71.94	96.33	70.71	197	128.347	1d05a0dcde6b2bbb94c7a0e0219961120a1d64a437691965c67cb4c181da74b4	95.97	66.88	70.56	70.56	70.56	96.32	71.54	96.33	70.67	193	128.216	23180329b2300aeacf524847683b31faccea2d2d238d4c0956b6f992b116ec58	95.28	63.13	67.22	67.22	67.22	95.9	68.5	95.91	67.41	183	128.789	c52105240089ad4867c1df7d5c9cab99d41d527fd9c6336977e971ce524f8bc4	91.39	64.38	68.33	68.33	68.33	96.04	69.91	96.05	68.47	173	129.677	3d81d6fd97added28c8a0dc169e797a06f17debe3984d7334aa77c14e8fab5e8	91.39	64.38	68.33	68.33	68.33	96.04	69.91	96.05	68.47	169	128.841	cb39d57a816b8efc9949c76a7e797c524bf37a8e62ffe24ec6f9642c1ed52fd3	91.11	61.25	65.56	65.56	65.56	95.69	67.16	95.7	65.8	163	129.565	b8cff74e2ddfe6fc04decb2d741d98fd63652edb2bbafc363f267f5fc0691bb8	100.0	92.0	92.89	92.89	92.89	99.11	93.19	99.12	92.89	10.0	872780.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233120.0	1041.267	("7f545301a874ecc28e5a01969f6081f629759ccaf1c5281913ff7751b24951df", "5d2201c1f9bf6e14730dd6dbf4a213782ee2b9617037d21ccfbfa2c869c336a8", "05b867b80af412ac84dc43d682801418f0e4d70cac36c2271dd0973f2593c2ef", "c8b314141ae1aa3150f7438ec9ca9c90e97ed2f2e77330ff7852145b6ae4bf37", "d43ae8d291459998ecda41a21be278a0013c86adef3279274bea183a672da895")	
7	5x5 avg,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	96.94	68.13	71.67	71.67	71.67	96.46	72.97	96.48	71.67	193	135.055	0e6eb4855e0d587a16a231f14af09e7f8d0d6c490dd3342f2f8e41ecd221a71f	96.11	68.75	72.22	72.22	72.22	96.53	73.47	96.55	72.16	181	135.304	650d4a34c46ec77a339825fdcef6f6753ebb6942623158a92d09f8724836a50f	94.03	64.38	68.33	68.33	68.33	96.04	68.75	96.06	68.2	163	134.755	61f4a53f1ae3c640bf5fe786034625a905552a4d2c4d60fbec08c2858f8b92af	91.94	61.88	66.11	66.11	66.11	95.76	66.57	95.78	65.96	163	134.611	9bb58287231600afc0d50ade06cbb3d9d8c49eee7a56897116ab74e40a424ea4	91.94	61.88	66.11	66.11	66.11	95.76	66.57	95.78	65.96	153	135.663	3c26ec4eda94f611027687f2d4d8f189403b33ba78e64eabfd1c614e7c5fe948	89.86	58.75	63.33	63.33	63.33	95.42	63.95	95.44	62.97	139	134.466	d4ba8f64f2813e7f9b85866033572b2df54f596bc4390520420045ca26cfce63	100.0	94.75	95.33	95.33	95.33	99.42	95.69	99.42	95.37	10.28	869700.0	0.0	0.04	0.03	0.03	0.03	0.0	0.03	0.0	0.03	0.0	917600.0	1016.211	("993018e78378b81a3e64ebd03090ce7beb1cac59aabcb5c7fe13457f1b62ca8d", "35b16d7e7d4f6d30a3eaf96951a63076caef178eec63afb6084b9a9bdd2cd7b2", "4aa7fd5f93ba77d10929781307e1706dd04225fafdc26be1c67e438f397d7853", "d1ad11eb70fcd19b26a850d41049276608dfab18dd79b6630f2832bfe7a9803f", "b79bdec5120f2f3b755ea126cad16e0e8e79f25873cc65133722ca8119c83199")	
8	5x5 avg,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	95.83	56.88	61.67	61.67	61.67	95.21	61.28	95.24	61.1	179	108.997	f8ea01c14879ff6ff3f1ad210dfadf383889260d2391f6f3f110597ac73f6148	94.17	56.25	61.11	61.11	61.11	95.14	60.87	95.17	60.56	159	108.106	e0d1fc2ff86237a7a95a24710593d63f1922bd011899ed31dfd92dd1f16c2137	91.94	55.0	60.0	60.0	60.0	95.0	59.84	95.04	59.12	141	107.466	95e6fbb7b973dfece7e42fda33a321f72d0ebdde5bcfef77791ba4217ee96148	91.53	55.0	60.0	60.0	60.0	95.0	61.04	95.07	58.94	163	108.006	24bd68d172cb03051dd46732f5d162befc9b3571015245ab8d257bec46b16b96	90.56	55.0	60.0	60.0	60.0	95.0	61.15	95.06	59.12	143	108.005	a306851ce87f0f55dc5e8ee372f39b2a2a72aa303b26601248b845d406443110	89.58	54.38	59.44	59.44	59.44	94.93	59.29	94.99	58.18	129	107.725	f2363ec57e773249ce4b8864a8271e3cb04c9f2caefbc28e46fab7859bacd48e	100.0	92.88	93.67	93.67	93.67	99.21	94.04	99.21	93.68	10.78	873100.0	0.0	0.03	0.02	0.02	0.02	0.0	0.01	0.0	0.02	0.01	437800.0	1006.154	("8ff142b405d9ba7350fa6a1f66985d4a77c22944f174c810474ee8739783b1f6", "ff1734a835cd21389629e44b5650a5ae60d89dfcabc942e64c8e67ea2906c20f", "e4a5eb3bf01532dbfccc18848329c53229a1c09aa86e9e7a81c5d68f434dbabd", "4e8a02b9a7362dcdd717e9b0bd5938a93efa8a15ec92c6831fe9747a62214ab8", "929f6b6b519e7c895e09a50f32194d2266549f891175be9bbfa554bb3ae6fb58")	
9	5x5 avg,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	96.53	65.0	68.89	68.89	68.89	96.11	70.34	96.11	69.15	189	101.303	efedc109bace841152699b56af0beb379faccb4b77bd42ec53c6c53710f6d282	94.17	61.88	66.11	66.11	66.11	95.76	66.85	95.77	66.26	165	101.044	ccd448f67579187469aa7439ce1ade43e51b1a31fccca45ab34857d42f20b58a	93.89	61.88	66.11	66.11	66.11	95.76	66.85	95.77	66.26	159	101.206	531df5df2a88122e6b58af46ecb0d8042202e542adf1ef2696bac9775242fc5c	91.25	59.37	63.89	63.89	63.89	95.49	67.6	95.51	64.28	163	100.773	c6160139cb0881e975ba0687d5fa3a6197a06bee2a0be958d2a0be218a01f02c	90.69	58.12	62.78	62.78	62.78	95.35	65.53	95.36	63.17	139	101.405	74148ab1b88f26b3c7496619875e6f955b8427b26fd1d86f5f2227445bad7dfd	90.42	58.12	62.78	62.78	62.78	95.35	65.53	95.36	63.17	137	100.897	2a64e24a477b19f8f138b09efe30cfada345eb79ca48150b6e2b25590a74d135	100.0	91.75	92.67	92.67	92.67	99.08	93.1	99.09	92.64	10.67	879500.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	729400.0	1030.333	("35adc6a6a230cf956b0258095f404462e8290618252a6014110f750bee326e23", "00c6cf0c1aecf258d1a9086bdc8b4fa810ecdb3c5f395e71d3c5569ba61f6387", "8c50945568af97eea7ad54f8dafe1dcacf095e6506f19eb920818b17ca6e8c50", "58c8535610f7add05888507274cc5a67f733c1269b3cd05077d82bd9cd4409cc", "ffc7d899e75e8acbd6d367261cdeada00744499ad1e30509fad6ed9da39afdc8")	
10	5x5 avg,flattened propositional	100	-1	Pavia	720	180	[927]	[()]	95.28	64.38	68.33	68.33	68.33	96.04	69.19	96.06	68.22	209	107.834	6ae07567588cb2fe137480f8643565c881e7bb7dd242b7253ce8e220b1cb4204	95.0	64.38	68.33	68.33	68.33	96.04	68.83	96.06	68.11	193	108.156	7ee10624b499e9549ce8327264cf9c3c25af1853a84afdc4770663b0a51423fc	93.61	64.38	68.33	68.33	68.33	96.04	69.17	96.06	68.21	181	108.002	d5ec3eb81f0c3638871b33d2c64b391e5bca0781af7dd304d63937dd75237041	91.25	60.63	65.0	65.0	65.0	95.62	66.54	95.67	64.64	171	109.006	ee31496f39ad6378baba961bc4a9b23f105231cf7bd80abe87d923b63f6538e1	91.25	60.63	65.0	65.0	65.0	95.62	66.54	95.67	64.64	155	109.257	df2ef2f592354917ed5de410b69635887bb9e031e07737562cce16fb53e7f7ac	90.14	60.63	65.0	65.0	65.0	95.62	66.54	95.67	64.64	149	109.74	a649f15a6644c7650e4b9077a1fe7e4b29ce359591e8b84548a77664ca7dccbd	100.0	95.5	96.0	96.0	96.0	99.5	96.21	99.5	95.99	10.64	885180.0	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.01	699520.0	1015.015	("835cfb084dd0b77745c38c4664bc28770b4fbcbf37ca0386c3aaf933030eafa7", "f0987f297c0dba7d51ecb2069a0ea54815a0b71b5f3a46e2f438c8010c500129", "f0f1b1e5432d951cbe3c11bee74932a5a0e7748bcb89155e32fe8bc27c3887b7", "83d6808bb0c3da0f2c801d93aef9261b53029e3008dd9bac58425fcae2290218", "82d4825e9d63ad3501f8d4c598693cad2cbfc7bb6998d118ce0f785fa6de9049")	
1	5x5 avg,RCC8	100	-1	Pavia	720	180	[1030]	[(3, 3)]	97.78	81.88	83.89	83.89	83.89	97.99	84.16	97.99	83.91	75	5701.809	a2710cd62a96974e1d83df5abb6f328ddf6029194faf1e10ab71ed20eca90585	97.22	81.88	83.89	83.89	83.89	97.99	84.16	97.99	83.91	69	775.875	39b6c6bb56d40be07609a34f81552b66ddcb75ae69369764384b7c30f00b90a6	91.25	80.0	82.22	82.22	82.22	97.78	83.04	97.82	81.6	51	761.247	19fd29f085e7ab15fbf1c3d41fea051fc1a0560e7f3ca87d937fb33f540191ec	96.25	81.88	83.89	83.89	83.89	97.99	84.23	97.99	83.92	65	776.005	e5eecabc9ce44a4d1dbe407807bf18f5126c74c497e3e511eb725d7d78e20875	95.69	81.88	83.89	83.89	83.89	97.99	84.23	97.99	83.92	59	777.047	c99b939ffb547731cc82847bbffb93c65ae2d458fa3f70b5a9f54fa94db4e1ea	90.42	80.0	82.22	82.22	82.22	97.78	82.63	97.82	81.57	45	766.15	c987f61d8074f8959d5d4eff6c9c595132592f40f130061a1ca103cee9b63e25	99.83	89.25	90.44	90.44	90.44	98.81	91.06	98.82	90.39	12.72	356540.0	0.0	0.02	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	75880.0	12172.391	("5e134d1ed9f5c2cc66ab1f30eaeb178c8e233675f9fb33f8adda124d03d6e427", "ee6414fa2ac470e813d0937d411b3814b55bd17b7c88a225d9c58f8a10a73a63", "970723bdc9f6b790971ee2e19414dbffa00b7adeb5b394aecbd0922cae576648", "428703c59c7f33844e1b06c39444620031e65e471cd1eb09724fb0025e143bcd", "04628058f3082efe3d8d43eab2c7b1b89b8aa374912eac7d0fd20d2354379719")	
